area_id,area_name,b07004e001,b07004e001_moe,b07004e002,b07004e002_moe,b07004e003,b07004e003_moe,b07004e004,b07004e004_moe,b07004e005,b07004e005_moe,b07004e006,b07004e006_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,57,82,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,52,77,0,29
1.4,Alki/Admiral,22,56,22,56,0,24,0,24,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,22,38,0,17,0,17,0,17,0,17
2.3,Riverview,59,53,59,53,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,134,117,57,70,0,21,0,21,65,86,12,25
2.5,Highland Park,60,123,60,123,0,21,0,21,0,21,0,21
3.1,South Park,214,219,176,213,38,63,0,17,0,17,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,140,149,54,88,86,123,0,24,0,24,0,24
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,143,153,143,153,0,24,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,312,317,260,294,52,74,0,27,0,27,0,27
4.3,Seward Park,19,35,19,35,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,9,26,9,26,0,24,0,24,0,24,0,24
6.1,First Hill,47,48,26,39,8,27,3,22,10,29,0,24
6.2,Capitol Hill,17,38,17,38,0,29,0,29,0,29,0,29
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,0,21,0,21,0,21,0,21,0,21,0,21
7.2,University District,28,32,10,23,18,32,0,29,0,29,0,29
7.3,Ravenna/Bryant,56,60,34,50,22,46,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,21,30,21,30,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,118,120,35,59,64,104,0,24,19,35,0,24
8.2,Olympic Hills/Victory Heights,104,144,104,144,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,25,36,25,36,0,27,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,27,53,27,53,0,27,0,27,0,27,0,27
9.2,Licton Springs,22,26,9,20,13,24,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,19,40,19,40,0,29,0,29,0,29,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,246,161,144,132,9,27,63,89,19,33,11,22
10.1,North Beach/Blue Ridge,67,126,57,106,10,26,0,21,0,21,0,21
10.2,Whittier Heights,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,24,27,24,27,0,24,0,24,0,24,0,24
10.4,Ballard,30,38,30,38,0,17,0,17,0,17,0,17
11.1,Fremont,0,24,0,24,0,24,0,24,0,24,0,24
11.2,Wallingford,70,86,0,27,70,86,0,27,0,27,0,27
11.3,Cascade/Eastlake,0,21,0,21,0,21,0,21,0,21,0,21
12.1,Magnolia,26,43,26,43,0,24,0,24,0,24,0,24
12.2,Interbay,0,21,0,21,0,21,0,21,0,21,0,21
12.3,Queen Anne,6,37,5,39,1,38,0,40,0,40,0,40
13.1,Belltown,0,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,17,28,0,12,4,9,13,26,0,12,0,12
13.3,Pioneer Square/International District,1,13,0,17,1,13,0,17,0,17,0,17
