area_id,area_name,b19037e001,b19037e001_moe,b19037e002,b19037e002_moe,b19037e003,b19037e003_moe,b19037e004,b19037e004_moe,b19037e005,b19037e005_moe,b19037e006,b19037e006_moe,b19037e007,b19037e007_moe,b19037e008,b19037e008_moe,b19037e009,b19037e009_moe,b19037e010,b19037e010_moe,b19037e011,b19037e011_moe,b19037e012,b19037e012_moe,b19037e013,b19037e013_moe,b19037e014,b19037e014_moe,b19037e015,b19037e015_moe,b19037e016,b19037e016_moe,b19037e017,b19037e017_moe,b19037e018,b19037e018_moe,b19037e019,b19037e019_moe,b19037e020,b19037e020_moe,b19037e021,b19037e021_moe,b19037e022,b19037e022_moe,b19037e023,b19037e023_moe,b19037e024,b19037e024_moe,b19037e025,b19037e025_moe,b19037e026,b19037e026_moe,b19037e027,b19037e027_moe,b19037e028,b19037e028_moe,b19037e029,b19037e029_moe,b19037e030,b19037e030_moe,b19037e031,b19037e031_moe,b19037e032,b19037e032_moe,b19037e033,b19037e033_moe,b19037e034,b19037e034_moe,b19037e035,b19037e035_moe,b19037e036,b19037e036_moe,b19037e037,b19037e037_moe,b19037e038,b19037e038_moe,b19037e039,b19037e039_moe,b19037e040,b19037e040_moe,b19037e041,b19037e041_moe,b19037e042,b19037e042_moe,b19037e043,b19037e043_moe,b19037e044,b19037e044_moe,b19037e045,b19037e045_moe,b19037e046,b19037e046_moe,b19037e047,b19037e047_moe,b19037e048,b19037e048_moe,b19037e049,b19037e049_moe,b19037e050,b19037e050_moe,b19037e051,b19037e051_moe,b19037e052,b19037e052_moe,b19037e053,b19037e053_moe,b19037e054,b19037e054_moe,b19037e055,b19037e055_moe,b19037e056,b19037e056_moe,b19037e057,b19037e057_moe,b19037e058,b19037e058_moe,b19037e059,b19037e059_moe,b19037e060,b19037e060_moe,b19037e061,b19037e061_moe,b19037e062,b19037e062_moe,b19037e063,b19037e063_moe,b19037e064,b19037e064_moe,b19037e065,b19037e065_moe,b19037e066,b19037e066_moe,b19037e067,b19037e067_moe,b19037e068,b19037e068_moe,b19037e069,b19037e069_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,7,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,21,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,16,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,74,87,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,54,84,0,21,0,21,0,21,0,21,0,21,0,21,0,21,54,84,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,20,30,11,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,9,23,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
2.5,Highland Park,8,22,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,8,22,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,8,22,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,53,49,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,32,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,32,0,17,0,17,0,17,0,17,0,17,25,33,10,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,28,0,17,0,17,0,17,0,17,0,17,9,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,21,0,17,0,17,0,17,0,17
