area_id,area_name,b14007c001,b14007c001_moe,b14007c002,b14007c002_moe,b14007c003,b14007c003_moe,b14007c004,b14007c004_moe,b14007c005,b14007c005_moe,b14007c006,b14007c006_moe,b14007c007,b14007c007_moe,b14007c008,b14007c008_moe,b14007c009,b14007c009_moe,b14007c010,b14007c010_moe,b14007c011,b14007c011_moe,b14007c012,b14007c012_moe,b14007c013,b14007c013_moe,b14007c014,b14007c014_moe,b14007c015,b14007c015_moe,b14007c016,b14007c016_moe,b14007c017,b14007c017_moe,b14007c018,b14007c018_moe,b14007c019,b14007c019_moe
1,Rogers Park,118,130,12,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,12,49,0,48,0,48,0,48,0,48,0,48,106,114
2,West Ridge,264,215,88,110,0,51,0,51,0,51,0,51,0,51,7,51,0,51,0,51,26,66,0,51,0,51,0,51,0,51,0,51,55,76,0,51,176,144
3,Uptown,249,146,65,89,19,54,0,48,0,48,0,48,19,54,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,27,66,184,107
4,Lincoln Square,229,170,21,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,4,39,17,42,0,40,208,168
5,North Center,81,70,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,81,70
6,Lake View,221,167,44,70,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,11,67,0,66,0,66,0,66,24,67,9,66,177,160
7,Lincoln Park,141,100,33,59,8,51,0,51,11,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,14,51,0,51,108,88
8,Near North Side,225,164,22,64,0,54,0,54,0,54,0,54,0,54,0,54,0,54,12,57,0,54,0,54,0,54,10,55,0,54,0,54,0,54,0,54,203,156
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,54,102,7,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,7,39,0,39,47,101
11,Jefferson Park,74,82,27,45,0,29,27,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,47,52
12,Forest Glen,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,21,40
13,North Park,42,48,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,42,48
14,Albany Park,123,111,30,53,0,45,0,45,0,45,10,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,20,44,0,45,93,84
15,Portage Park,169,178,28,62,0,47,0,47,0,47,14,50,14,50,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,141,139
16,Irving Park,150,134,64,86,0,47,0,47,0,47,0,47,14,51,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,49,84,1,46,86,87
17,Dunning,86,97,49,75,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,49,75,0,40,37,51
18,Montclare,42,54,42,54,0,23,0,23,8,20,0,23,0,23,0,23,33,54,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,1,16,0,23
