area_id,area_name,c24010e001,c24010e001_moe,c24010e002,c24010e002_moe,c24010e003,c24010e003_moe,c24010e004,c24010e004_moe,c24010e005,c24010e005_moe,c24010e006,c24010e006_moe,c24010e007,c24010e007_moe,c24010e008,c24010e008_moe,c24010e009,c24010e009_moe,c24010e010,c24010e010_moe,c24010e011,c24010e011_moe,c24010e012,c24010e012_moe,c24010e013,c24010e013_moe
1,Rogers Park,14,51,14,51,0,48,14,51,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
3,Uptown,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,48,77,0,40,0,40,0,40,0,40,0,40,0,40,48,77,48,77,0,40,0,40,0,40,0,40
5,North Center,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,32,78,28,79,28,79,0,66,0,66,0,66,0,66,4,66,0,66,0,66,4,66,0,66,0,66
7,Lincoln Park,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,26,51,26,51,26,51,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,46,79,0,45,0,45,0,45,0,45,0,45,0,45,46,79,0,45,46,79,0,45,0,45,0,45
15,Portage Park,40,76,40,76,40,76,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
16,Irving Park,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
17,Dunning,37,60,0,40,0,40,0,40,0,40,0,40,0,40,37,60,0,40,7,40,30,60,0,40,0,40
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52
20,Hermosa,8,31,0,29,0,29,0,29,0,29,0,29,0,29,8,31,0,29,0,29,8,31,0,29,0,29
21,Avondale,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
22,Logan Square,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57
23,Humboldt Park,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
24,West Town,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62
25,Austin,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52
